ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): LOUISIANA

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency Type [District] 2016-17,Total Students All Grades (Includes AE) [District] 2016-17,Male Students [District] 2016-17,Female Students [District] 2016-17,American Indian/Alaska Native - male [District] 2016-17,American Indian/Alaska Native - female [District] 2016-17,Asian or Asian/Pacific Islander - male [District] 2016-17,Asian or Asian/Pacific Islander - female [District] 2016-17,Hispanic - male [District] 2016-17,Hispanic - female [District] 2016-17,Black or African American - male [District] 2016-17,Black or African American - female [District] 2016-17,White - male [District] 2016-17,White - female [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - male [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - female [District] 2016-17,Two or More Races - male [District] 2016-17,Two or More Races - female [District] 2016-17,Full-Time Equivalent (FTE) Teachers [District] 2016-17,Pupil/Teacher Ratio [District] 2016-17,Kindergarten Teachers [District] 2016-17,Elementary Teachers [District] 2016-17,Secondary Teachers [District] 2016-17,Total Staff [District] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Instruction Expenditures - Total (E13) [District Finance] 2016-17,Salary - Instruction Expenditures (Z33) [District Finance] 2016-17
COMMUNITY SCHOOL FOR APPRENTICESHIP LEARNING INC.,Louisiana,LOUISIANA,Community School for Apprenticeship Learning Inc.,7-Independent Charter District,511,261,240,–,–,–,1,–,1,267,242,–,–,–,–,–,–,30.47,16.77,†,†,30.47,43.42,6085000,314000,2156000,3615000,11908,3050000,1844000
CONCORDIA PARISH,Louisiana,LOUISIANA,Concordia Parish,1-Regular local school district that is NOT a component of a supervisory union,3413,1750,1663,2,3,13,6,31,27,866,858,815,753,1,2,22,14,302.32,11.29,9.84,186.62,93.96,600.99,39388000,5211000,22115000,12062000,11541,20207000,12176000
CRESCENT LEADERSHIP ACADEMY,LOUISIANA,LOUISIANA,RSD-Crescent Leadership Academy,7-Independent Charter District,82,58,24,="0",="0",="0",="0",1,="0",57,24,="0",="0",="0",="0",="0",="0",8.00,10.25,†,†,8.00,20.01,1504000,100000,354000,1050000,18341,597000,442000
D'ARBONNE WOODS CHARTER SCHOOL,Louisiana,LOUISIANA,D'Arbonne Woods Charter School,7-Independent Charter District,945,491,454,6,4,4,4,50,45,37,26,381,361,2,1,11,13,72.14,13.10,5.00,34.77,32.37,130.58,10202000,538000,5263000,4401000,10796,5336000,3118000
DELHI CHARTER SCHOOL,Louisiana,LOUISIANA,Delhi Charter School,7-Independent Charter District,857,445,408,–,–,2,1,15,18,146,145,276,242,–,–,8,4,61.37,13.96,4.00,30.88,26.49,130.51,8449000,680000,7674000,95000,9859,4689000,3134000
DELTA CHARTER GROUP,LOUISIANA,LOUISIANA,Delta Charter Group,7-Independent Charter District,500,257,240,2,–,1,1,4,4,42,43,203,192,–,–,6,2,29.00,17.24,2.50,14.63,11.87,42.62,4762000,264000,2973000,1525000,9524,2838000,1791000
DEMOCRACY PREP BATON ROUGE,LOUISIANA,LOUISIANA,RSD- Democracy Prep Louisiana Charter School,7-Independent Charter District,276,134,134,–,–,–,–,2,1,133,136,3,1,–,–,–,–,25.65,10.76,="0.00",23.65,2.00,35.65,4031000,274000,1562000,2195000,14605,1864000,1145000
DESOTO PARISH,Louisiana,LOUISIANA,DeSoto Parish,1-Regular local school district that is NOT a component of a supervisory union,5121,2694,2425,13,6,10,7,66,75,1116,1037,1440,1251,–,–,50,50,335.29,15.27,19.99,194.34,103.99,713.52,82775000,7199000,13885000,61691000,16164,42380000,23924000
DR MARTIN LUTHER KING CHARTER SCHOOL FOR SCI TECH,LOUISIANA,LOUISIANA,Dr. Martin Luther King Charter School for Sci/Tech,7-Independent Charter District,1062,502,552,–,–,–,–,3,1,502,554,–,1,–,–,1,–,52.00,20.42,5.00,31.00,15.00,121.93,11049000,1644000,3948000,5457000,10404,4425000,3326000
DWIGHT D. EISENHOWER ACADEMY OF GLOBAL STUDIES,LOUISIANA,LOUISIANA,Dwight D. Eisenhower Academy of Global Studies,7-Independent Charter District,761,403,357,1,–,15,5,11,14,348,306,4,7,21,22,3,4,17.00,44.76,="0.00",15.00,1.00,77.42,9218000,1772000,3270000,4176000,12113,6279000,3207000
