"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","ENROLL_LINE_NO","ENROLL_CAT","AMOUNT_1","AMOUNT_2","AMOUNT_3"
07,"CAMDEN",5820,"WINSLOW TWP",11,"Onroll (Full)",4193.0,4171.0,4163.0
07,"CAMDEN",5820,"WINSLOW TWP",21,"Onroll (SpEd Full)",726.0,763.0,763.0
07,"CAMDEN",5820,"WINSLOW TWP",40,"Sent Private School",62.0,54.0,54.0
07,"CAMDEN",5820,"WINSLOW TWP",51,"Sent Oth Dist Reg",25.0,24.0,24.0
07,"CAMDEN",5820,"WINSLOW TWP",52,"Sent Oth Dist SpEd",31.0,51.0,51.0
07,"CAMDEN",5820,"WINSLOW TWP",60,"Received Oth Dist",200.0,204.0,204.0
07,"CAMDEN",5820,"WINSLOW TWP",70,"State Facilities",11.0,12.0,12.0
07,"CAMDEN",5900,"WOODLYNNE BORO",11,"Onroll (Full)",337.0,329.0,319.0
07,"CAMDEN",5900,"WOODLYNNE BORO",21,"Onroll (SpEd Full)",75.0,66.0,63.0
07,"CAMDEN",5900,"WOODLYNNE BORO",40,"Sent Private School",6.0,5.0,7.0
07,"CAMDEN",5900,"WOODLYNNE BORO",51,"Sent Oth Dist Reg",131.0,151.0,130.0
07,"CAMDEN",5900,"WOODLYNNE BORO",52,"Sent Oth Dist SpEd",37.0,47.0,54.0
07,"CAMDEN",5900,"WOODLYNNE BORO",60,"Received Oth Dist",0,3.0,0.0
07,"CAMDEN",5900,"WOODLYNNE BORO",70,"State Facilities",3.0,1.0,1.0
09,"CAPE MAY",0170,"AVALON BORO",11,"Onroll (Full)",41.0,41.0,54.0
09,"CAPE MAY",0170,"AVALON BORO",21,"Onroll (SpEd Full)",9.0,8.0,5.0
09,"CAPE MAY",0170,"AVALON BORO",51,"Sent Oth Dist Reg",24.0,25.0,29.0
09,"CAPE MAY",0170,"AVALON BORO",52,"Sent Oth Dist SpEd",2.0,2.0,0.0
09,"CAPE MAY",0170,"AVALON BORO",60,"Received Oth Dist",27.0,30.0,39.0
09,"CAPE MAY",0710,"CAPE MAY CITY",11,"Onroll (Full)",152.0,154.0,166.0
09,"CAPE MAY",0710,"CAPE MAY CITY",21,"Onroll (SpEd Full)",20.0,31.0,33.0
09,"CAPE MAY",0710,"CAPE MAY CITY",51,"Sent Oth Dist Reg",1.0,0.0,0.0
09,"CAPE MAY",0710,"CAPE MAY CITY",52,"Sent Oth Dist SpEd",3.0,3.0,2.0
09,"CAPE MAY",0710,"CAPE MAY CITY",60,"Received Oth Dist",3.0,2.0,1.0
09,"CAPE MAY",0715,"CAPE MAY CO SPECIAL SERV",11,"Onroll (Full)",22.0,16.0,0.0
09,"CAPE MAY",0715,"CAPE MAY CO SPECIAL SERV",21,"Onroll (SpEd Full)",224.0,209.0,209.0
09,"CAPE MAY",0715,"CAPE MAY CO SPECIAL SERV",22,"Onroll (SpEd Shared)",10.0,11.0,0.0
09,"CAPE MAY",0720,"CAPE MAY CO VOCATIONAL",11,"Onroll (Full)",533.0,526.0,555.0
